labels,nodeType,name,description,eventName,propertyName
"Scenarios,Meta,Base",Scenario,Сценарий,,,
"Scenarios,Meta,PropertyKey",,Название сценария,,,name
"Scenarios,Meta,Base",ScenarioStep,Шаг сценария,,,
"Scenarios,Meta,PropertyKey",,Описание шага сценария,,,name
"Scenarios,Meta,PropertyKey",,Вид действия,,,actionType
"Scenarios,Meta,PropertyValue",,Действие МП,,,
"Scenarios,Meta,PropertyValue",,Действие пользователя,,,
"Scenarios,Meta,PropertyKey",,Тип ветки,,,branchType
"Scenarios,Meta,PropertyValue",,Основная,,,
"Scenarios,Meta,PropertyValue",,Альтернативная,,,
"Scenarios,Meta,PropertyValue",,Негативная,,,
"Interface,Meta,Base",Screen,Экран,,,
"Interface,Meta,PropertyKey",,Название экрана,Человекопонятное название экрана,,name
"Interface,Meta,PropertyKey",,Название экрана в Figma,"Название экрана, которое фигурирует в макетах",,figmaName
"Interface,Meta,Base",Block,Блок элементов,,,
"Interface,Meta,PropertyKey",,Название блока элементов,,,name
"Interface,Meta,Base",Element,Элемент экрана,,,
"Interface,Meta,PropertyKey",,Текст на кнопке,,,buttonText
"Interface,Meta","Element,Button",Кнопка,,,
"Interface,Meta","Element,GoodsCard",Карточка товара,,,
"Interface,Meta,PropertyKey",,Название товара,,,goodsName
"Interface,Meta","Element,Banner",Баннер,,,
"Interface,Meta,PropertyKey",,Текст на баннере,,,bannerText
"Interface,Meta,PropertyKey",,URL баннера,"Ссылка, на которую ведет баннер",,bannerURL
"Events,Meta",UserEvent,Пользовательское событие,,,
"Events,Meta,PropertyKey",,Тип пользовательского события,,,eventType
"Events,Meta,PropertyValue",,Нажатие,,click,
"Events,Meta,PropertyValue",,Свайп,,swipe,
"Events,Meta,PropertyValue",,Прокрутка,,scroll,
"Events,Meta,PropertyValue",,Просмотр,Появление в зоне видимости,view,
"Events,Meta",ServiceEvent,Служебное событие,,,
"Events,Meta,PropertyKey",,Тип служебного события,,,eventType
"Events,Meta,PropertyValue",,Загрузка,,load,
"Events,Meta,PropertyValue",,Успешный ответ с сервера,,success,
"Events,Meta,PropertyValue",,Ошибка с сервера,,error,
