labels,nodeType,name,description,eventName,propertyName
"Scenarios,Base,Meta",Scenario,Сценарий,,,
"Scenarios,Meta",ScenarioStep,Шаг сценария,,,
"Scenarios,Meta",PropertyKey,Вид действия,,,actionType
"Scenarios,Meta",PropertyValue,Действие МП,,,
"Scenarios,Meta",PropertyValue,Действие пользователя,,,
"Scenarios,Meta",PropertyKey,Тип ветки,,,branchType
"Scenarios,Meta",PropertyValue,Основная,,,
"Scenarios,Meta",PropertyValue,Альтернативная,,,
"Scenarios,Meta",PropertyValue,Негативная,,,
"Interface,Meta",Screen,Экран,,,
"Interface,Meta",Block,Блок элементов,,,
"Interface,Meta",Element,Элемент экрана,,,
"Interface,Meta",PropertyKey,Тип элемента экрана,,,elementType
"Interface,Meta",PropertyValue,Кнопка,,,
"Interface,Meta",PropertyValue,Карточка товара,,,
"Interface,Meta",PropertyValue,Баннер,,,
"Events,Meta",UserEvent,Пользовательское событие,,,
"Events,Meta",PropertyKey,Тип пользовательского события,,,eventType
"Events,Meta",PropertyValue,Нажатие,,click,
"Events,Meta",PropertyValue,Свайп,,swipe,
"Events,Meta",PropertyValue,Прокрутка,,scroll,
"Events,Meta",PropertyValue,Просмотр,Появление в зоне видимости,view,
"Events,Meta",ServiceEvent,Служебное событие,,,
"Events,Meta",PropertyKey,Тип служебного события,,,eventType
"Events,Meta",PropertyValue,Загрузка,,load,
"Events,Meta",PropertyValue,Успешный ответ с сервера,,success,
"Events,Meta",PropertyValue,Ошибка с сервера,,error,
